Skill,Category
@Formula,coding
A-0 System,coding
A#,coding
A# .NET,coding
A+,coding
A++,coding
ABAP,coding
ABC,coding
ABC ALGOL,coding
ABSET,coding
ABSYS,coding
ACC,coding
Accent,coding
Accord. NET,coding
Ace DASL,coding
ACL2,coding
ACT-III,coding
Action!,coding
ActionScript,coding
Ada,coding
Adenine,coding
Agda,coding
Agilent VEE,coding
Agora,coding
AIMMS,coding
Alef,coding
ALF,coding
ALGOL 58,coding
ALGOL 60,coding
ALGOL 68,coding
ALGOL W,coding
Alice,coding
Alma-0,coding
Amazon Machine Learning,coding
Amazon ML,coding
AmbientTalk,coding
Amiga E,coding
AMOS,coding
AMPL,coding
Apache Mahout,coding
Apache Singa,coding
APL,coding
App Inventor for Android's visual block language,coding
AppleScript,coding
Arc,coding
ArcGIS,coding
ARexx,coding
Argus,coding
AspectJ,coding
Assembler,coding
Ateji PX,coding
ATS,coding
Autocoder,coding
AutoHotkey,coding
AutoIt,coding
AutoLISP / Visual LISP,coding
AutoML,coding
Averest,coding
AWK,coding
Axiom,coding
Axum,coding
Ayasdi,coding
Azure,coding
B,coding
Babbage,coding
Bash,coding
Batch,coding
bc,coding
BCPL,coding
BeanShell,coding
Bertrand,coding
BETA,coding
Bigwig,coding
Bistro,coding
BitC,coding
BLISS,coding
Blue,coding
Bon,coding
Boo,coding
Boomerang,coding
Bourne shell,coding
BPEL,coding
BREW,coding
C,coding
C Shell,coding
C#,coding
C++,coding
Caché ObjectScript,coding
Caml,coding
Candle,coding
Cayenne,coding
CDuce,coding
Cecil,coding
Cel,coding
Cesil,coding
Ceylon,coding
CFEngine,coding
CFML,coding
Cg,coding
Ch,coding
CHAIN,coding
Chapel,coding
Charity,coding
Charm,coding
Chef,coding
CHILL,coding
CHIP-8,coding
chomski,coding
ChucK,coding
CICS,coding
CIL,coding
Cilk,coding
CL,coding
Claire,coding
Clarion,coding
Clean,coding
Clipper,coding
CLIST,coding
Clojure,coding
CLU,coding
CMS EXEC,coding
CMS-2,coding
COBOL,coding
Cobra,coding
CoffeeScript,coding
Cola,coding
ColdC,coding
ColdFusion,coding
COMAL,coding
Combined Programming Language,coding
COMIT,coding
Common Intermediate Language,coding
Common Lisp,coding
COMPASS,coding
Component Pascal,coding
Constraint Handling Rules,coding
Converge,coding
Cool,coding
Coq,coding
Coral 66,coding
Core ML,coding
Corn,coding
CorVision,coding
COWSEL,coding
CPL,coding
csh,coding
Csound,coding
CSP,coding
CUDA,coding
Curl,coding
Curry,coding
Cyclone,coding
Cython,coding
D,coding
Dart,coding
DASL,coding
DataFlex,coding
Datalog,coding
DATATRIEVE,coding
dBase,coding
dc,coding
DCL,coding
Deeplearning 4j,coding
Deesel,coding
Delphi,coding
Dialog flow,coding
DIBOL,coding
DinkC,coding
Docker,coding
Dog,coding
Draco,coding
DRAKON,coding
Dylan,coding
DYNAMO,coding
E#,coding
Ease,coding
Easy PL/I,coding
Easy Programming Language,coding
EASYTRIEVE PLUS,coding
Eclipse,coding
ECMAScript,coding
Edinburgh IMP,coding
EGL,coding
Eiffel,coding
ELAN,coding
Elixir,coding
Elm,coding
Emacs Lisp,coding
Emerald,coding
Epigram,coding
EPL,coding
Erlang,coding
es,coding
Escapade,coding
Escher,coding
ESPOL,coding
Esterel,coding
Etoys,coding
Euclid,coding
Euler,coding
Euphoria,coding
EusLisp Robot Programming Language,coding
EXEC 2,coding
Executable UML,coding
F,coding
F-Script,coding
F#,coding
Factor,coding
Falcon,coding
Fancy,coding
Fantom,coding
FAUST,coding
Felix,coding
Ferite,coding
FFP,coding
Fjölnir,coding
FL,coding
Flavors,coding
Flex,coding
FLOW-MATIC,coding
FOCAL,coding
FOIL,coding
FORMAC,coding
Forth,coding
Fortran,coding
Fortress,coding
FoxBase,coding
FoxPro,coding
FP,coding
FPr,coding
Franz Lisp,coding
FSProg,coding
G-code,coding
Game Maker Language,coding
GameMonkey Script,coding
GAMS,coding
GAP,coding
GDL,coding
Genie,coding
GEORGE,coding
Gibiane,coding
GJ,coding
GLSL,coding
GM,coding
GNU E,coding
Go,coding
Go!,coding
Gödel,coding
Godiva,coding
GOM,coding
Good Old Mad,coding
Goo,coding
Google Apps Script,coding
Google Cloud ML,coding
Gosu,coding
GOTRAN,coding
GPSS,coding
GraphTalk,coding
GRASS,coding
Groovy,coding
H2O,coding
Hack (programming language),coding
HAL/S,coding
Hamilton C shell,coding
Harbour,coding
Hartmann pipelines,coding
Haskell,coding
Haxe,coding
High Level Assembly,coding
HLSL,coding
Hop,coding
Hope,coding
Hugo,coding
Hume,coding
HyperTalk,coding
IBM Basic assembly language,coding
IBM HAScript,coding
IBM Informix-4GL,coding
IBM RPG,coding
IBM Watson,coding
ICI,coding
Icon,coding
Id,coding
IDL,coding
Idris,coding
IMP,coding
Inform,coding
Infosys,coding
Infrrd,coding
Io,coding
Ioke,coding
IPL,coding
IPTSCRAE,coding
ISLISP,coding
ISPF,coding
ISWIM,coding
J,coding
J#,coding
J++,coding
JADE,coding
Jako,coding
JAL,coding
Janus,coding
JASS,coding
Java,coding
JavaFX Script,coding
JavaScript,coding
JCL,coding
JEAN,coding
Join Java,coding
JOSS,coding
Joule,coding
JOVIAL,coding
Joy,coding
JScript,coding
JScript .NET,coding
Julia,coding
Jupyter,coding
Jupyterlab,coding
JWT,coding
Jython,coding
K,coding
KAI,coding
Kaleidoscope,coding
Karel,coding
Karel++,coding
KEE,coding
KIF,coding
Kixtart,coding
Kojo,coding
Kotlin,coding
KRC,coding
KRL,coding
KRYPTON,coding
ksh,coding
KUKA,coding
L,coding
L#,coding
L# .NET,coding
LabVIEW,coding
Ladder,coding
Lagoona,coding
LANSA,coding
Lasso,coding
LaTeX,coding
Lava,coding
LC-3,coding
Leda,coding
Legoscript,coding
LIL,coding
LilyPond,coding
Limbo,coding
Limnor,coding
LINC,coding
Lingo,coding
Linoleum,coding
LIS,coding
LISA,coding
Lisaac,coding
Lisp,coding
Lite-C,coding
Lithe,coding
Little b,coding
LiveCode,coding
LiveScript,coding
Logo,coding
Logtalk,coding
LPC,coding
LSE,coding
LSL,coding
Lua,coding
Lucid,coding
Lumiata,coding
Lustre,coding
LYaPAS,coding
Lynx,coding
M2001,coding
M4,coding
Machine code,coding
Macsyma,coding
MAD,coding
Magik,coding
Magma,coding
Maple,coding
MAPPER,coding
MARK-IV,coding
Mary,coding
MASM Microsoft Assembly x86,coding
Mathematica,coding
MATLAB,coding
Matplotlib,coding
Max,coding
Maxima,coding
MaxScript,coding
Maya (MEL),coding
MDL,coding
Mercury,coding
Mesa,coding
Metacard,coding
Metafont,coding
MetaL,coding
Microcode,coding
MicroScript,coding
MIIS,coding
MillScript,coding
MIMIC,coding
Mindmeld,coding
Mirah,coding
Miranda,coding
MIVA Script,coding
ML,coding
Mlib,coding
Moby,coding
Model 204,coding
Modelica,coding
Modula,coding
Modula-2,coding
Modula-3,coding
Mohol,coding
MOO,coding
Mortran,coding
Mouse,coding
MPD,coding
MSL,coding
MUMPS,coding
Napier88,coding
NASM,coding
NATURAL,coding
Neko,coding
Nemerle,coding
nesC,coding
NESL,coding
Net.Data,coding
NetLogo,coding
NetRexx,coding
NewLISP,coding
NEWP,coding
Newspeak,coding
NewtonScript,coding
NGL,coding
Nial,coding
Nice,coding
Nickle,coding
Not eXactly C,coding
Not Quite C,coding
Notebook,coding
NPL,coding
NSIS,coding
Nu,coding
Nvidia,coding
NWScript,coding
NXT-G,coding
XML,coding
Oak,coding
Oauth2,coding
Oberon,coding
Obix,coding
OBJ2,coding
Object Lisp,coding
Object Pascal,coding
Object REXX,coding
Objective-C,coding
Objective-J,coding
ObjectLOGO,coding
Obliq,coding
Obol,coding
OCaml,coding
occam,coding
occam-π,coding
Octave,coding
OmniMark,coding
Onyx,coding
Opa,coding
Opal,coding
OpenCL,coding
OpenEdge ABL,coding
OPL,coding
OPS5,coding
OptimJ,coding
Orc,coding
ORCA/Modula-2,coding
Oriel,coding
Orwell,coding
Oryx,coding
Oxygene,coding
Oz,coding
P#,coding
ParaSail (programming language),coding
PARI/GP,coding
Pascal,coding
Pawn,coding
PCASTL,coding
PCF,coding
PDL,coding
PEARL,coding
PeopleCode,coding
Perl,coding
PHP,coding
Phrogram,coding
Pico,coding
Picolisp,coding
Pict,coding
Pike,coding
PIKT,coding
PILOT,coding
Pipelines,coding
Pizza,coding
PL-11,coding
PL/0,coding
PL360,coding
PLANC,coding
Plankalkül,coding
Planner,coding
PLEX,coding
PLEXIL,coding
POP-11,coding
PortablE,coding
postgres,coding
PostScript,coding
PowerBuilder,coding
Powerhouse,coding
PowerShell,coding
PPL,coding
PredictionIO,coding
Premonition,coding
Pro*C,coding
Processing.js,coding
Prograph,coding
PROIV,coding
Prolog,coding
PROMAL,coding
Promela,coding
PROSE modeling language,coding
PROTEL,coding
ProvideX,coding
Pure,coding
Python,coding
Q (equational programming language),coding
Q (programming language from Kx Systems),coding
Qalb,coding
Qi,coding
QPL,coding
QtScript,coding
QuakeC,coding
R,coding
R++,coding
Racket,coding
Rainbird,coding
Rapira,coding
Ratfiv,coding
Ratfor,coding
rc,coding
REBOL,coding
Receptivi,coding
Red,coding
Redcode,coding
REFAL,coding
Reia,coding
Revolution,coding
rex,coding
REXX,coding
Rlab,coding
RobotC,coding
ROOP,coding
RPG,coding
RPL,coding
RSL,coding
RTL/2,coding
Ruby,coding
RuneScript,coding
Rust,coding
S,coding
S-Lang,coding
S-PLUS,coding
S2,coding
S3,coding
SA-C,coding
SabreTalk,coding
SAIL,coding
SALSA,coding
SAM76,coding
SAS,coding
SASL,coding
Sather,coding
Sawzall,coding
SBL,coding
Scala,coding
Scheme,coding
Scikit-learn,coding
Scilab,coding
Scratch,coding
Script.NET,coding
Sed,coding
Seed7,coding
SenseTalk,coding
SequenceL,coding
SETL,coding
Shakespeare,coding
Shift Script,coding
Shogun,coding
SIGNAL,coding
SiMPLE,coding
SIMPOL,coding
SIMSCRIPT,coding
Simula,coding
Simulink,coding
